complaint,language,category,subcategory,department,priority,severity_score,district_type,confidence_label
Drain outside Ward 12 community hall has been overflowing for five days and dirty water is entering nearby houses.,English,Drainage,Drain Overflow,Municipal Corporation,High,82,Urban,High
Rainwater has mixed with the open drain near City Bus Stand making it impossible to walk safely.,English,Drainage,Open Drain,Municipal Corporation,High,78,Urban,High
The drain behind the primary school in Rampur village is blocked with mud and wastewater is spreading everywhere.,English,Drainage,Blocked Drain,Rural Development Department,High,75,Rural,High
Nobody has cleaned the roadside drain near Shanti Nagar for months. Mosquitoes have become a serious problem.,English,Drainage,Drain Cleaning,Municipal Corporation,Medium,64,Urban,High
Sewage is flowing out from the drainage chamber beside District Hospital gate since yesterday.,English,Drainage,Sewage Overflow,Public Health Engineering Department,Ultra High,95,Urban,High
Drain cover near Gandhi Chowk is broken and people are at risk of falling into it.,English,Drainage,Broken Drain Cover,Municipal Corporation,High,81,Urban,High
Dirty water from the drain is entering our vegetable market every morning.,English,Drainage,Drain Overflow,Municipal Corporation,High,77,Urban,High
Our colony drain was partially repaired but now the water is collecting again after every rainfall.,English,Drainage,Poor Drain Maintenance,Municipal Corporation,Medium,60,Urban,High
There is no proper drainage system in our new housing area and wastewater remains on the road.,English,Drainage,Drain Construction,Municipal Corporation,High,80,Urban,High
The drain beside NH service road is completely clogged because of plastic waste.,English,Drainage,Blocked Drain,Municipal Corporation,Medium,66,Urban,High
Drain water is overflowing into the anganwadi compound in Bhatgaon village.,English,Drainage,Drain Overflow,Rural Development Department,High,74,Rural,High
Bad smell from the uncovered drain near the temple has become unbearable.,English,Drainage,Open Drain,Municipal Corporation,Medium,58,Urban,High
After every evening the drain near Lakshmi Colony backs up and floods the street.,English,Drainage,Drain Overflow,Municipal Corporation,High,79,Urban,High
The drain beside my farm has been blocked by construction debris for almost two weeks.,English,Drainage,Blocked Drain,Rural Development Department,Medium,62,Rural,High
Please clean the drainage line near Ward 4 because wastewater is entering drinking water pipelines.,English,Drainage,Drain Cleaning,Public Health Engineering Department,Ultra High,97,Urban,High
Stormwater drain near the railway crossing has collapsed and traffic gets affected whenever it rains.,English,Drainage,Damaged Drain,Municipal Corporation,High,84,Urban,High
Drain cleaning vehicle never visits our lane and sludge keeps accumulating.,English,Drainage,Drain Cleaning,Municipal Corporation,Medium,55,Urban,High
वार्ड 18 में नाली पूरी तरह जाम है और गंदा पानी घरों के सामने जमा हो रहा है।,Hindi,Drainage,Blocked Drain,Municipal Corporation,High,83,Urban,High
गांव करही में नाली की सफाई कई महीनों से नहीं हुई बदबू बहुत आ रही है।,Hindi,Drainage,Drain Cleaning,Rural Development Department,Medium,63,Rural,High
जिला अस्पताल के पीछे सीवर का पानी नाली से बाहर बह रहा है।,Hindi,Drainage,Sewage Overflow,Public Health Engineering Department,Ultra High,96,Urban,High
बस स्टैंड के पास खुली नाली में लोग गिरने से बचते रहते हैं तुरंत ढक्कन लगाया जाए।,Hindi,Drainage,Broken Drain Cover,Municipal Corporation,High,80,Urban,High
